4.702462248714014970e-01,9.421298177223280668e-01
4.711951077468272131e-01,9.398258135872072927e-01
4.721070979008168411e-01,9.375206344113022894e-01
4.729824919315007703e-01,9.352142582766170831e-01
4.738215913118886680e-01,9.329066626955382358e-01
4.746247019272613610e-01,9.305978245773736113e-01
4.753921336368439610e-01,9.282877201945287648e-01
4.761241998597908198e-01,9.259763251483388302e-01
4.768212171854906423e-01,9.236636143345815508e-01
4.774835050081682186e-01,9.213495619086955468e-01
4.781113851857443087e-01,9.190341412507365693e-01
4.787051817228941131e-01,9.167173249301047155e-01
4.792652204782391623e-01,9.143990846700815744e-01
4.797918288955951294e-01,9.120793913122242635e-01
4.802853357591964079e-01,9.097582147806650976e-01
4.807460709728192949e-01,9.074355240463746197e-01
4.811743653627281736e-01,9.051112870914558295e-01
4.815705505043774703e-01,9.027854708735402189e-01
4.819349585728098795e-01,9.004580412903671061e-01
4.822679222167104984e-01,8.981289631446457422e-01
4.825697744560828450e-01,8.957982001092941182e-01
4.828408486035445368e-01,8.934657146931783700e-01
4.830814782092472948e-01,8.911314682074759075e-01
4.832919970294616840e-01,8.887954207328095935e-01
4.834727390188827134e-01,8.864575310873059610e-01
4.836240383467470538e-01,8.841177567957576588e-01
4.837462294368729543e-01,8.817760540600800834e-01
4.838396470317710696e-01,8.794323777312722523e-01
4.839046262810008381e-01,8.770866812831223935e-01
4.839415028539771346e-01,8.747389167879024985e-01
4.839506130774683390e-01,8.723890348943441619e-01
4.839322940980509968e-01,8.700369848081888069e-01
4.838868840698247187e-01,8.676827142756511346e-01
4.838147223677171094e-01,8.653261695701588430e-01
4.837161498267351645e-01,8.629672954827549702e-01
4.835915090075532108e-01,8.606060353165950749e-01
4.834411444888466747e-01,8.582423308859924438e-01
4.832654031868026667e-01,8.558761225205175904e-01
4.830646347022617415e-01,8.535073490746755143e-01
4.828391916959554053e-01,8.511359479437510256e-01
4.825894302923095514e-01,8.487618550864266531e-01
4.823157105122963806e-01,8.463850050548467063e-01
4.820183967358045996e-01,8.440053310328328173e-01
4.816978581939883597e-01,8.416227648830021391e-01
4.813544694920394162e-01,8.392372372036052131e-01
4.809886111627877381e-01,8.368486773959269431e-01
4.806006702515003837e-01,8.344570137431661649e-01
4.801910409321894502e-01,8.320621735017481591e-01
4.797601251556721791e-01,8.296640830060837413e-01
4.793083333295363735e-01,8.272626677878345269e-01
4.788360850300680260e-01,8.248578527108034741e-01
4.783438097460667726e-01,8.224495621226091124e-01
4.778319476543380073e-01,8.200377200243587072e-01
4.773009504264762448e-01,8.176222502595789088e-01
4.767512820663654671e-01,8.152030767236969622e-01
4.761834197776005362e-01,8.127801235954115189e-01
4.755978548597828981e-01,8.103533155913180686e-01
4.749950936323606987e-01,8.079225782451726623e-01
4.743756583843723451e-01,8.054878382132036885e-01
4.737400883480936686e-01,8.030490236068694720e-01
4.730889406942072606e-01,8.006060643544686828e-01
4.724227915456777893e-01,7.981588925929722356e-01
4.717422370070497584e-01,7.957074430914194973e-01
4.710478942053721862e-01,7.932516537071547802e-01
4.703404023383997989e-01,7.907914658761151516e-01
4.696204237251183633e-01,7.883268251382624658e-01
4.688886448530080187e-01,7.858576816991478253e-01
4.681457774157640195e-01,7.833839910284223773e-01
4.673925593344787632e-01,7.809057144959350438e-01
4.666297557545239227e-01,7.784228200458372937e-01
4.658581600095711428e-01,7.759352829088512760e-01
4.650785945433718593e-01,7.734430863525741939e-01
4.642919117790626493e-01,7.709462224693469645e-01
4.634989949249014307e-01,7.684446930008401733e-01
4.627007587044706938e-01,7.659385101980834554e-01
4.618981499985242989e-01,7.634276977151945864e-01
4.610921483848033908e-01,7.609122915345418736e-01
4.602837665613453977e-01,7.583923409205142185e-01
4.594740506380464717e-01,7.558679093984490560e-01
4.586640802805511119e-01,7.533390757546229999e-01
4.578549686899452964e-01,7.508059350524961539e-01
4.570478624012531688e-01,7.482685996596742939e-01
4.562439408833878218e-01,7.457272002792713073e-01
4.554444159230407463e-01,7.431818869785656867e-01
4.546505307750081659e-01,7.406328302070241953e-01
4.538635590617006721e-01,7.380802217949480326e-01
4.530848034050719009e-01,7.355242759231824801e-01
4.523155937749839817e-01,7.329652300535318687e-01
4.515572855391085105e-01,7.304033458087683117e-01
4.508112572008767804e-01,7.278389097904092164e-01
4.500789078137734656e-01,7.252722343218119816e-01
4.493616540624103539e-01,7.227036581035904961e-01
4.486609270033579122e-01,7.201335467679385038e-01
4.479781684616422899e-01,7.175622933181535767e-01
4.473148270821464823e-01,7.149903184395394184e-01
4.466723540388629621e-01,7.124180706679175135e-01
4.460521984090332070e-01,7.098460264022492527e-01
4.454558022236198012e-01,7.072746897483619399e-01
4.448845952102811752e-01,7.047045921815067171e-01
