demo_id,t,x,y
0,0,0.201557379,0.9648973153
0,0.008928571428,0.1972282895,0.9432518677
0,0.01785714286,0.1914561702,0.9288215694
0,0.02678571428,0.1885701105,0.9158343008
0,0.03571428572,0.1856840508,0.8999609726
0,0.04464285714,0.184241021,0.8913027936
0,0.05357142858,0.1827979911,0.8797585549
0,0.0625,0.1813549613,0.8682143162
0,0.07142857142,0.1813549613,0.8566700775
0,0.08035714286,0.1813549613,0.8451258388
0,0.08928571428,0.184241021,0.8335816001
0,0.09821428572,0.1885701105,0.8220373614
0,0.1071428571,0.1914561702,0.8148222122
0,0.1160714286,0.1943422298,0.8047210033
0,0.125,0.1972282895,0.7931767646
0,0.1339285714,0.2001143492,0.7816325259
0,0.1428571429,0.2030004089,0.771531317
0,0.1517857143,0.2073294984,0.754214959
0,0.1607142857,0.2116585879,0.7325695114
0,0.1696428571,0.2145446476,0.709481034
0,0.1785714286,0.2174307072,0.6964937655
0,0.1875,0.2203167669,0.6878355864
0,0.1964285714,0.2260888863,0.6762913477
0,0.2053571428,0.2333040355,0.6633040792
0,0.2142857142,0.246291304,0.6416586316
0,0.2232142858,0.2563925129,0.6286713631
0,0.2321428572,0.2636076621,0.6185701542
0,0.2410714286,0.2708228112,0.6099119752
0,0.25,0.2794809903,0.6012537962
0,0.2589285714,0.2866961395,0.5925956171
0,0.2678571428,0.2967973483,0.5839374381
0,0.2767857142,0.3054555274,0.5752792591
0,0.2857142858,0.3141137064,0.5680641099
0,0.2946428572,0.3227718854,0.5622919905
0,0.3035714286,0.3299870346,0.557962901
0,0.3125,0.3372021838,0.5521907817
0,0.3214285714,0.344417333,0.5449756325
0,0.3303571428,0.353075512,0.5392035131
0,0.3392857142,0.3574046015,0.5334313938
0,0.3482142858,0.3588476314,0.5262162446
0,0.3571428572,0.361733691,0.5204441252
0,0.3660714286,0.3646197507,0.5175580656
0,0.375,0.3703918701,0.5103429164
0,0.3839285714,0.3833791386,0.5002417075
0,0.3928571428,0.3949233773,0.4915835285
0,0.4017857142,0.4079106458,0.4843683793
0,0.4107142858,0.4194548845,0.4785962599
0,0.4196428572,0.4281130636,0.4728241406
0,0.4285714286,0.4411003321,0.4641659615
0,0.4375,0.4483154813,0.4583938422
0,0.4464285714,0.4569736603,0.451178693
0,0.4553571428,0.4613027498,0.4468496035
0,0.4642857142,0.4656318394,0.4396344543
0,0.4732142858,0.4699609289,0.433862335
0,0.4821428572,0.4714039587,0.4266471858
0,0.4910714286,0.4742900184,0.4194320366
0,0.5,0.4757330482,0.4107738575
0,0.5089285714,0.4771760781,0.4035587084
0,0.5178571428,0.4786191079,0.3992296188
0,0.5267857142,0.4786191079,0.3934574995
0,0.5357142858,0.4800621377,0.3905714398
0,0.5446428572,0.4800621377,0.3833562906
0,0.5535714286,0.4800621377,0.3775841713
0,0.5625,0.4786191079,0.3718120519
0,0.5714285714,0.4771760781,0.3645969027
0,0.5803571428,0.4771760781,0.3588247834
0,0.5892857142,0.4771760781,0.353052664
0,0.5982142858,0.4757330482,0.3458375148
0,0.6071428572,0.4757330482,0.3371793358
0,0.6160714286,0.4757330482,0.3299641866
0,0.625,0.4757330482,0.3198629778
0,0.6339285714,0.4757330482,0.3126478286
0,0.6428571428,0.4757330482,0.3083187391
0,0.6517857142,0.4757330482,0.3011035899
0,0.6607142858,0.4757330482,0.2967745004
0,0.6696428572,0.4757330482,0.2895593512
0,0.6785714286,0.4757330482,0.2837872318
0,0.6875,0.4771760781,0.2780151125
0,0.6964285714,0.4771760781,0.2693569334
0,0.7053571428,0.4757330482,0.2650278439
0,0.7142857142,0.4742900184,0.2563696649
0,0.7232142858,0.4728469885,0.246268456
0,0.7321428572,0.4714039587,0.2390533068
0,0.7410714286,0.4699609289,0.2347242173
0,0.75,0.468517899,0.2318381576
0,0.7589285714,0.468517899,0.2275090681
0,0.7678571428,0.468517899,0.2231799786
0,0.7767857142,0.4670748692,0.2159648294
0,0.7857142858,0.4670748692,0.2145217996
0,0.7946428572,0.4670748692,0.2101927101
0,0.8035714286,0.4670748692,0.2058636206
0,0.8125,0.4670748692,0.201534531
0,0.8214285714,0.4670748692,0.2000915012
0,0.8303571428,0.468517899,0.1986484714
0,0.8392857142,0.4699609289,0.1914333222
0,0.8482142858,0.4699609289,0.1885472625
0,0.8571428572,0.4699609289,0.175559994
0,0.8660714286,0.4699609289,0.1683448448
0,0.875,0.4699609289,0.1611296956
0,0.8839285714,0.468517899,0.1553575762
0,0.8928571428,0.468517899,0.1495854569
0,0.9017857142,0.468517899,0.1452563674
0,0.9107142858,0.468517899,0.1409272779
0,0.9196428572,0.468517899,0.1365981883
0,0.9285714286,0.468517899,0.130826069
0,0.9375,0.468517899,0.1250539496
0,0.9464285714,0.4699609289,0.1192818303
0,0.9553571428,0.4699609289,0.1149527408
0,0.9642857142,0.4699609289,0.1106236513
0,0.9732142858,0.4699609289,0.1062945617
0,0.9821428572,0.4699609289,0.1005224424
0,0.9910714286,0.4699609289,0.09619335288
0,1,0.4699609289,0.09475032304
1,0,0.771554165,0.985099733
1,0.01063829787,0.7931996126,0.9562391363
1,0.02127659574,0.8004147618,0.9403658081
1,0.03191489362,0.8105159706,0.9201633903
1,0.04255319148,0.8148450601,0.9014040024
1,0.05319148936,0.8191741497,0.8797585549
1,0.06382978724,0.8220602093,0.8624421968
1,0.0744680851,0.8235032392,0.8465688686
1,0.08510638298,0.8235032392,0.8292525105
1,0.09574468086,0.8191741497,0.8148222122
1,0.1063829787,0.8134020303,0.7960628243
1,0.1170212766,0.8076299109,0.7787464662
1,0.1276595745,0.8018577916,0.762873138
1,0.1382978723,0.7946426424,0.7455567799
1,0.1489361702,0.7859844634,0.7296834517
1,0.1595744681,0.7758832545,0.709481034
1,0.170212766,0.7686681053,0.6993798251
1,0.1808510638,0.7614529561,0.6892786163
1,0.1914893617,0.7527947771,0.6791774074
1,0.2021276596,0.7441365981,0.664747109
1,0.2127659574,0.7354784191,0.6546459002
1,0.2234042554,0.7282632699,0.6445446913
1,0.2340425532,0.7167190312,0.6315574227
1,0.244680851,0.7066178223,0.620013184
1,0.255319149,0.6965166134,0.6099119752
1,0.2659574468,0.6878584344,0.5998107663
1,0.2765957446,0.6792002554,0.5911525873
1,0.2872340426,0.6719851062,0.5839374381
1,0.2978723404,0.664769957,0.5767222889
1,0.3085106382,0.6546687481,0.5695071397
1,0.3191489362,0.6474535989,0.5622919905
1,0.329787234,0.6330233006,0.5521907817
1,0.340425532,0.6229220917,0.5478616921
1,0.3510638298,0.6099348232,0.540646543
1,0.3617021276,0.5998336143,0.5348744236
1,0.3723404256,0.5926184651,0.5305453341
1,0.3829787234,0.5854033159,0.5247732147
1,0.3936170212,0.575302107,0.5146720059
1,0.4042553192,0.5680869579,0.5088998865
1,0.414893617,0.5594287788,0.4987986777
1,0.4255319148,0.5507705998,0.4915835285
1,0.4361702128,0.5449984804,0.4858114091
1,0.4468085106,0.5406693909,0.4814823196
1,0.4574468086,0.5348972716,0.4757102003
1,0.4680851064,0.5305681821,0.4699380809
1,0.4787234042,0.5247960627,0.4656089914
1,0.4893617022,0.5175809135,0.4569508124
1,0.5,0.5089227345,0.4468496035
1,0.5106382978,0.4988215256,0.4353053648
